AssetID,AssetCode,FundID,FundCode,AssetName,AssetType,InvestmentType,Sector,SubSector,Region,Country,Currency,EntryDate,EntryDateKey,EntryFXRateToCHF,EntryCost,EntryCostCHF,ReservedFollowOn,ExitDate,ExitDateKey,RealizationStatus,GrossMOICTarget2025,ESGTheme,SponsorType
11,BG2-GOA,2,BG2,GridOps AI,Company,Growth Equity,Software,AI Operations,North America,United States,USD,44377,20210630,0.900665,58253000,52466438,4660000,,,Partially Realized,2,AI Enablement,Direct
12,BG2-CPF,2,BG2,ClearPath Fintech Infrastructure,Company,Growth Equity,Fintech,Payments Infrastructure,North America,United States,USD,44651,20220331,0.920537,69970000,64409974,5598000,,,Partially Realized,1.91,Digital Finance,Direct
13,GI1-ASP,3,GI1,Aurora Solar Platform,Project Platform,Core+ Equity,Energy Transition,Solar PV,Europe,Spain,USD,43190,20180331,0.972944,132788000,129195288,10623000,,,Partially Realized,1.4,Decarbonization,Direct
14,GI1-HFN,3,GI1,Helvetic Fiber Networks,Platform,Core+ Equity,Digital Infrastructure,Fiber Broadband,Europe,Switzerland,USD,43465,20181231,0.994446,102439000,101870054,8195000,,,Partially Realized,1.35,Digital Inclusion,Direct
15,GI1-NSS,3,GI1,NorthSea Storage Terminals,Asset Platform,Core+ Equity,Logistics Infrastructure,Bulk Storage,Europe,Netherlands,USD,43646,20190630,0.97563,85303000,83224166,6824000,,,Partially Realized,1.41,Supply Chain Resilience,Direct
16,GI1-MEC,3,GI1,Metro EV Charging,Platform,Core+ Equity,Energy Transition,EV Charging,Europe,France,USD,43921,20200331,0.948369,153049000,145146927,12244000,,,Partially Realized,1.46,Decarbonization,Direct
17,GI1-CDH,3,GI1,Continental Data Hubs,Platform,Core+ Equity,Digital Infrastructure,Colocation Data Centers,North America,United States,USD,44104,20200930,0.91224,205921000,187849373,16474000,,,Partially Realized,1.4,Digital Enablement,Direct
18,DDL1-ATLN,4,DDL1,Arcadia Tools Loan,Loan,Senior Loan,Industrials,Industrial Tools,Europe,Germany,EUR,43921,20200331,1.090499,44664000,48706047,1787000,45199,20230930,Realized,1.17,Industrial Resilience,Sponsor-Backed
19,DDL1-BFLN,4,DDL1,Bright Freight Loan,Loan,Senior Loan,Transportation & Logistics,Freight Services,Europe,United Kingdom,EUR,44012,20200630,1.080515,43225000,46705261,1729000,45382,20240331,Realized,1.2,Supply Chain,Sponsor-Backed
20,DDL1-CRLN,4,DDL1,Carewell Rx Loan,Loan,Senior Loan,Healthcare,Pharmacy Services,North America,United States,EUR,44196,20201231,1.084621,54209000,58796220,2168000,,,Partially Realized,1.19,Healthcare Access,Sponsor-Backed
21,DDL1-DTLN,4,DDL1,Delta Tech Loan,Loan,Senior Loan,Software,Vertical SaaS,Europe,France,EUR,44377,20210630,1.055838,87146000,92012058,3486000,,,Partially Realized,1.19,Digitalization,Sponsor-Backed
22,DDL1-EGLN,4,DDL1,Evergreen Foods Loan,Loan,Senior Loan,Consumer Staples,Food Distribution,Europe,Italy,EUR,44561,20211231,1.044533,86034000,89865352,3441000,,,Partially Realized,1.14,Food Security,Sponsor-Backed
23,DDL1-FMLN,4,DDL1,Falcon Medtech Loan,Loan,Senior Loan,Healthcare,Medical Devices,North America,United States,EUR,44742,20220630,1.011094,72617000,73422613,2905000,,,Partially Realized,1.18,Healthcare Innovation,Sponsor-Backed
24,DDL1-GSLN,4,DDL1,Granite Services Loan,Loan,Senior Loan,Business Services,Facilities Services,Europe,Benelux,EUR,44926,20221231,0.994348,52291000,51995451,2092000,,,Partially Realized,1.13,Resource Efficiency,Sponsor-Backed
25,DDL1-HPLN,4,DDL1,Harbor Packaging Loan,Loan,Senior Loan,Packaging,Flexible Packaging,Europe,Germany,EUR,45107,20230630,0.966214,40294000,38932627,1612000,,,Partially Realized,1.15,Circular Economy,Sponsor-Backed
26,ER1-RLP,5,ER1,Rhine Logistics Park,Property,Value-Add Real Estate,Logistics,Big Box Logistics,Europe,Germany,EUR,43190,20180331,1.155903,73019000,84402881,5842000,45382,20240331,Realized,1.51,Energy Efficiency,Developer / Operating Partner
27,ER1-LLP,5,ER1,Lyon Living Portfolio,Property Portfolio,Value-Add Real Estate,Residential,Living / PBSA,Europe,France,EUR,43373,20180930,1.134509,100254000,113739065,8020000,,,Partially Realized,1.44,Affordable Living,Developer / Operating Partner
28,ER1-MUL,5,ER1,Milan Urban Logistics,Property,Value-Add Real Estate,Logistics,Urban Last-Mile,Europe,Italy,EUR,43555,20190331,1.123374,129634000,145627465,10371000,,,Partially Realized,1.53,Supply Chain,Developer / Operating Partner
29,ER1-BFO,5,ER1,Barcelona Flex Office Campus,Property,Value-Add Real Estate,Office,Flex Office,Europe,Spain,EUR,43738,20190930,1.09716,167368000,183629475,13389000,,,Partially Realized,1.51,Urban Regeneration,Developer / Operating Partner
30,ER1-DLM,5,ER1,Dutch Last Mile Portfolio,Property Portfolio,Value-Add Real Estate,Logistics,Last-Mile Logistics,Europe,Netherlands,EUR,44012,20200630,1.080515,128045000,138354543,10244000,,,Partially Realized,1.36,Low Carbon Buildings,Developer / Operating Partner
