NAVID,FundID,FundCode,ValuationDate,ValuationDateKey,QuarterEnd,NAV,Currency,FXRateToCHF,NAVCHF,UnfundedCommitment,UnfundedCommitmentCHF,ValuationStatus,QuarterSequence
60,2,BG2,45291,20231231,2023 Q4,561324000,USD,0.864071,485023790,62685000,54164291,Final,20
61,2,BG2,45382,20240331,2024 Q1,553819000,USD,0.863068,477983457,61245000,52858600,Final,21
62,2,BG2,45473,20240630,2024 Q2,532198000,USD,0.865951,460857390,59906000,51875661,Final,22
63,2,BG2,45565,20240930,2024 Q3,510579000,USD,0.876824,447687921,58668000,51441510,Final,23
64,2,BG2,45657,20241231,2024 Q4,488960000,USD,0.883881,432182454,57532000,50851442,Final,24
65,2,BG2,45747,20250331,2025 Q1,467339000,USD,0.882997,412658935,56497000,49886682,Final,25
66,2,BG2,45838,20250630,2025 Q2,445721000,USD,0.88586,394846405,55563000,49221039,Final,26
67,2,BG2,45930,20250930,2025 Q3,424102000,USD,0.896894,380374539,54730000,49087009,Final,27
68,2,BG2,46022,20251231,2025 Q4,413071000,USD,0.904025,373426511,53999000,48816446,Final,28
69,3,GI1,43190,20180331,2018 Q1,63101000,USD,0.972944,61393739,832482000,809958367,Final,1
70,3,GI1,43281,20180630,2018 Q2,98595000,USD,0.975357,96165323,792849000,773310822,Final,2
71,3,GI1,43373,20180930,2018 Q3,118314000,USD,0.986895,116763495,769151000,759071276,Final,3
72,3,GI1,43465,20181231,2018 Q4,180139000,USD,0.994446,179138508,702921000,699016977,Final,4
73,3,GI1,43555,20190331,2019 Q1,209356000,USD,0.98317,205832539,671482000,660180958,Final,5
74,3,GI1,43646,20190630,2019 Q2,268268000,USD,0.97563,261730309,611391000,596491401,Final,6
75,3,GI1,43738,20190930,2019 Q3,304374000,USD,0.977067,297393791,574335000,561163775,Final,7
76,3,GI1,43830,20191231,2019 Q4,321660000,USD,0.974465,313446412,557760000,543517598,Final,8
77,3,GI1,43921,20200331,2020 Q1,408477000,USD,0.948369,387386924,471986000,447616891,Final,9
78,3,GI1,44012,20200630,2020 Q2,456992000,USD,0.92619,423261420,426883000,395374766,Final,10
79,3,GI1,44104,20200930,2020 Q3,586033000,USD,0.91224,534602744,301304000,274861561,Final,11
80,3,GI1,44196,20201231,2020 Q4,664685000,USD,0.894233,594383262,226620000,202651082,Final,12
81,3,GI1,44286,20210331,2021 Q1,708452000,USD,0.895466,634394679,191952000,171886490,Final,13
82,3,GI1,44377,20210630,2021 Q2,743555000,USD,0.900665,669693964,167580000,150933441,Final,14
83,3,GI1,44469,20210930,2021 Q3,765914000,USD,0.914272,700253725,163800000,149757754,Final,15
84,3,GI1,44561,20211231,2021 Q4,790334000,USD,0.924067,730321568,160020000,147869201,Final,16
85,3,GI1,44651,20220331,2022 Q1,814753000,USD,0.920537,750010282,156240000,143824701,Final,17
86,3,GI1,44742,20220630,2022 Q2,839171000,USD,0.92071,772633131,152460000,140371447,Final,18
87,3,GI1,44834,20220930,2022 Q3,855533000,USD,0.9294,795132370,148680000,138183192,Final,19
88,3,GI1,44926,20221231,2022 Q4,867383000,USD,0.934167,810280575,144900000,135360798,Final,20
89,3,GI1,45016,20230331,2023 Q1,875032000,USD,0.91105,797197904,142830000,130125272,Final,21
90,3,GI1,45107,20230630,2023 Q2,882680000,USD,0.891392,786813891,140850000,125552563,Final,22
91,3,GI1,45199,20230930,2023 Q3,881975000,USD,0.879679,775854886,138960000,122240194,Final,23
92,3,GI1,45291,20231231,2023 Q4,869190000,USD,0.864071,751041872,137160000,118515978,Final,24
93,3,GI1,45382,20240331,2024 Q1,856403000,USD,0.863068,739134024,135450000,116902561,Final,25
94,3,GI1,45473,20240630,2024 Q2,843616000,USD,0.865951,730530119,133830000,115890222,Final,26
95,3,GI1,45565,20240930,2024 Q3,830832000,USD,0.876824,728493438,132300000,116003815,Final,27
96,3,GI1,45657,20241231,2024 Q4,818045000,USD,0.883881,723054433,130860000,115664668,Final,28
97,3,GI1,45747,20250331,2025 Q1,805259000,USD,0.882997,711041281,129510000,114356941,Final,29
98,3,GI1,45838,20250630,2025 Q2,792473000,USD,0.88586,702020132,128250000,113611545,Final,30
99,3,GI1,45930,20250930,2025 Q3,779687000,USD,0.896894,699296592,127080000,113977290,Final,31
100,3,GI1,46022,20251231,2025 Q4,766901000,USD,0.904025,693297677,126000000,113907150,Final,32
101,4,DDL1,43921,20200331,2020 Q1,41388000,EUR,1.090499,45133573,562687000,613609611,Final,1
102,4,DDL1,44012,20200630,2020 Q2,93114000,EUR,1.080515,100611074,516670000,558269685,Final,2
103,4,DDL1,44104,20200930,2020 Q3,104904000,EUR,1.079636,113258135,504685000,544876095,Final,3
104,4,DDL1,44196,20201231,2020 Q4,155804000,EUR,1.084621,168988290,459927000,498846483,Final,4
105,4,DDL1,44286,20210331,2021 Q1,170381000,EUR,1.073157,182845563,445526000,478119346,Final,5
106,4,DDL1,44377,20210630,2021 Q2,252099000,EUR,1.055838,266175704,375077000,396020550,Final,6
107,4,DDL1,44469,20210930,2021 Q3,275516000,EUR,1.047374,288568295,353430000,370173393,Final,7
108,4,DDL1,44561,20211231,2021 Q4,356776000,EUR,1.044533,372664306,283848000,296488603,Final,8
109,4,DDL1,44651,20220331,2022 Q1,372244000,EUR,1.030603,383635783,262446000,270477635,Final,9
110,4,DDL1,44742,20220630,2022 Q2,433400000,EUR,1.011094,438208140,203330000,205585743,Final,10
111,4,DDL1,44834,20220930,2022 Q3,437986000,EUR,1.000049,438007461,184879000,184888059,Final,11
112,4,DDL1,44926,20221231,2022 Q4,472844000,EUR,0.994348,470171486,141617000,140816581,Final,12
113,4,DDL1,45016,20230331,2023 Q1,464225000,EUR,0.982912,456292323,127638000,125456922,Final,13
114,4,DDL1,45107,20230630,2023 Q2,479847000,EUR,0.966214,463634889,93734000,90567103,Final,14
115,4,DDL1,45199,20230930,2023 Q3,456703000,EUR,0.957615,437345643,82394000,78901730,Final,15
116,4,DDL1,45291,20231231,2023 Q4,431287000,EUR,0.954151,411512922,79919000,76254794,Final,16
117,4,DDL1,45382,20240331,2024 Q1,394601000,EUR,0.950049,374890285,78614000,74687152,Final,17
118,4,DDL1,45473,20240630,2024 Q2,358188000,EUR,0.941057,337075325,77399000,72836871,Final,18
119,4,DDL1,45565,20240930,2024 Q3,321780000,EUR,0.940081,302499264,76274000,71703738,Final,19
120,4,DDL1,45657,20241231,2024 Q4,288399000,EUR,0.944067,272267979,75239000,71030657,Final,20
121,4,DDL1,45747,20250331,2025 Q1,255018000,EUR,0.940037,239726356,74294000,69839109,Final,21
122,4,DDL1,45838,20250630,2025 Q2,228500000,EUR,0.931099,212756122,73439000,68378979,Final,22
123,4,DDL1,45930,20250930,2025 Q3,201987000,EUR,0.930093,187866695,72674000,67593579,Final,23
124,4,DDL1,46022,20251231,2025 Q4,186124000,EUR,0.933997,173839258,71999000,67246850,Final,24
125,5,ER1,43190,20180331,2018 Q1,42059000,EUR,1.155903,48616124,703002000,812602121,Final,1
126,5,ER1,43281,20180630,2018 Q2,59584000,EUR,1.140469,67953705,681560000,777298052,Final,2
127,5,ER1,43373,20180930,2018 Q3,127844000,EUR,1.134509,145040169,607268000,688951011,Final,3
128,5,ER1,43465,20181231,2018 Q4,156495000,EUR,1.134837,177596316,579017000,657089915,Final,4
129,5,ER1,43555,20190331,2019 Q1,248731000,EUR,1.123374,279417938,483012000,542603122,Final,5
130,5,ER1,43646,20190630,2019 Q2,288261000,EUR,1.105682,318724999,447417000,494700923,Final,6
131,5,ER1,43738,20190930,2019 Q3,409747000,EUR,1.09716,449558019,324364000,355879206,Final,7
132,5,ER1,43830,20191231,2019 Q4,464176000,EUR,1.094696,508131610,279335000,305786907,Final,8
133,5,ER1,43921,20200331,2020 Q1,499945000,EUR,1.090499,545189523,251043000,273762140,Final,9
134,5,ER1,44012,20200630,2020 Q2,595670000,EUR,1.080515,643630370,171029000,184799400,Final,10
135,5,ER1,44104,20200930,2020 Q3,645022000,EUR,1.079636,696388972,135831000,146648038,Final,11
136,5,ER1,44196,20201231,2020 Q4,682082000,EUR,1.084621,739800461,113437000,123036152,Final,12
137,5,ER1,44286,20210331,2021 Q1,707575000,EUR,1.073157,759339064,110250000,118315559,Final,13
138,5,ER1,44377,20210630,2021 Q2,730506000,EUR,1.055838,771295994,107063000,113041184,Final,14
139,5,ER1,44469,20210930,2021 Q3,740672000,EUR,1.047374,775760595,103876000,108797022,Final,15
140,5,ER1,44561,20211231,2021 Q4,750838000,EUR,1.044533,784275069,100689000,105172983,Final,16
141,5,ER1,44651,20220331,2022 Q1,761004000,EUR,1.030603,784293005,98556000,101572109,Final,17
142,5,ER1,44742,20220630,2022 Q2,759143000,EUR,1.011094,767564932,96493000,97563493,Final,18
143,5,ER1,44834,20220930,2022 Q3,757284000,EUR,1.000049,757321107,94501000,94505631,Final,19
144,5,ER1,44926,20221231,2022 Q4,743939000,EUR,0.994348,739734257,92579000,92055743,Final,20
145,5,ER1,45016,20230331,2023 Q1,717866000,EUR,0.982912,705599106,90727000,89176657,Final,21
146,5,ER1,45107,20230630,2023 Q2,691794000,EUR,0.966214,668421048,88946000,85940870,Final,22
147,5,ER1,45199,20230930,2023 Q3,660161000,EUR,0.957615,632180076,87235000,83537545,Final,23
148,5,ER1,45291,20231231,2023 Q4,628532000,EUR,0.954151,599714436,85594000,81669601,Final,24
149,5,ER1,45382,20240331,2024 Q1,596902000,EUR,0.950049,567086148,84024000,79826917,Final,25
150,5,ER1,45473,20240630,2024 Q2,574906000,EUR,0.941057,541019316,82524000,77659788,Final,26
151,5,ER1,45565,20240930,2024 Q3,552911000,EUR,0.940081,519781126,81094000,76234929,Final,27
152,5,ER1,45657,20241231,2024 Q4,530915000,EUR,0.944067,501219331,79735000,75275182,Final,28
153,5,ER1,45747,20250331,2025 Q1,508920000,EUR,0.940037,478403630,78446000,73742143,Final,29
154,5,ER1,45838,20250630,2025 Q2,495668000,EUR,0.931099,461515979,77227000,71905982,Final,30
155,5,ER1,45930,20250930,2025 Q3,482416000,EUR,0.930093,448691745,76079000,70760545,Final,31
156,5,ER1,46022,20251231,2025 Q4,469163000,EUR,0.933997,438196835,75001000,70050709,Final,32
