DateKey,Date,DayNumber,DayName,DayOfWeekISO,WeekOfYear,Month,MonthName,MonthShort,Quarter,QuarterNum,Year,YearQuarter,YearMonth,MonthStartFlag,MonthEndFlag,QuarterStartFlag,QuarterEndFlag,YearStartFlag,YearEndFlag,IsWeekendFlag
20160203,42403,3,Wednesday,3,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160204,42404,4,Thursday,4,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160205,42405,5,Friday,5,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160206,42406,6,Saturday,6,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160207,42407,7,Sunday,7,5,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160208,42408,8,Monday,1,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160209,42409,9,Tuesday,2,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160210,42410,10,Wednesday,3,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160211,42411,11,Thursday,4,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160212,42412,12,Friday,5,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160213,42413,13,Saturday,6,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160214,42414,14,Sunday,7,6,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160215,42415,15,Monday,1,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160216,42416,16,Tuesday,2,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160217,42417,17,Wednesday,3,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160218,42418,18,Thursday,4,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160219,42419,19,Friday,5,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160220,42420,20,Saturday,6,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160221,42421,21,Sunday,7,7,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160222,42422,22,Monday,1,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160223,42423,23,Tuesday,2,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160224,42424,24,Wednesday,3,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160225,42425,25,Thursday,4,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160226,42426,26,Friday,5,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,No
20160227,42427,27,Saturday,6,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160228,42428,28,Sunday,7,8,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,No,No,No,No,No,Yes
20160229,42429,29,Monday,1,9,2,February,Feb,Q1,1,2016,2016 Q1,2016-02,No,Yes,No,No,No,No,No
20160301,42430,1,Tuesday,2,9,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,Yes,No,No,No,No,No,No
20160302,42431,2,Wednesday,3,9,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160303,42432,3,Thursday,4,9,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160304,42433,4,Friday,5,9,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160305,42434,5,Saturday,6,9,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160306,42435,6,Sunday,7,9,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160307,42436,7,Monday,1,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160308,42437,8,Tuesday,2,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160309,42438,9,Wednesday,3,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160310,42439,10,Thursday,4,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160311,42440,11,Friday,5,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160312,42441,12,Saturday,6,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160313,42442,13,Sunday,7,10,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160314,42443,14,Monday,1,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160315,42444,15,Tuesday,2,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160316,42445,16,Wednesday,3,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160317,42446,17,Thursday,4,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160318,42447,18,Friday,5,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160319,42448,19,Saturday,6,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160320,42449,20,Sunday,7,11,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160321,42450,21,Monday,1,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160322,42451,22,Tuesday,2,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160323,42452,23,Wednesday,3,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160324,42453,24,Thursday,4,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160325,42454,25,Friday,5,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160326,42455,26,Saturday,6,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160327,42456,27,Sunday,7,12,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,Yes
20160328,42457,28,Monday,1,13,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160329,42458,29,Tuesday,2,13,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160330,42459,30,Wednesday,3,13,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,No,No,No,No,No,No
20160331,42460,31,Thursday,4,13,3,March,Mar,Q1,1,2016,2016 Q1,2016-03,No,Yes,No,Yes,No,No,No
20160401,42461,1,Friday,5,13,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,Yes,No,Yes,No,No,No,No
20160402,42462,2,Saturday,6,13,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160403,42463,3,Sunday,7,13,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160404,42464,4,Monday,1,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160405,42465,5,Tuesday,2,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160406,42466,6,Wednesday,3,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160407,42467,7,Thursday,4,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160408,42468,8,Friday,5,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160409,42469,9,Saturday,6,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160410,42470,10,Sunday,7,14,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160411,42471,11,Monday,1,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160412,42472,12,Tuesday,2,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160413,42473,13,Wednesday,3,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160414,42474,14,Thursday,4,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160415,42475,15,Friday,5,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160416,42476,16,Saturday,6,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160417,42477,17,Sunday,7,15,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160418,42478,18,Monday,1,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160419,42479,19,Tuesday,2,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160420,42480,20,Wednesday,3,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160421,42481,21,Thursday,4,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160422,42482,22,Friday,5,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160423,42483,23,Saturday,6,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160424,42484,24,Sunday,7,16,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,Yes
20160425,42485,25,Monday,1,17,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160426,42486,26,Tuesday,2,17,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160427,42487,27,Wednesday,3,17,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160428,42488,28,Thursday,4,17,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160429,42489,29,Friday,5,17,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,No,No,No,No,No,No
20160430,42490,30,Saturday,6,17,4,April,Apr,Q2,2,2016,2016 Q2,2016-04,No,Yes,No,No,No,No,Yes
20160501,42491,1,Sunday,7,17,5,May,May,Q2,2,2016,2016 Q2,2016-05,Yes,No,No,No,No,No,Yes
20160502,42492,2,Monday,1,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160503,42493,3,Tuesday,2,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160504,42494,4,Wednesday,3,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160505,42495,5,Thursday,4,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160506,42496,6,Friday,5,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160507,42497,7,Saturday,6,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160508,42498,8,Sunday,7,18,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160509,42499,9,Monday,1,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160510,42500,10,Tuesday,2,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160511,42501,11,Wednesday,3,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160512,42502,12,Thursday,4,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160513,42503,13,Friday,5,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160514,42504,14,Saturday,6,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160515,42505,15,Sunday,7,19,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160516,42506,16,Monday,1,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160517,42507,17,Tuesday,2,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160518,42508,18,Wednesday,3,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160519,42509,19,Thursday,4,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160520,42510,20,Friday,5,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160521,42511,21,Saturday,6,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160522,42512,22,Sunday,7,20,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160523,42513,23,Monday,1,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160524,42514,24,Tuesday,2,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160525,42515,25,Wednesday,3,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160526,42516,26,Thursday,4,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160527,42517,27,Friday,5,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160528,42518,28,Saturday,6,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160529,42519,29,Sunday,7,21,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,Yes
20160530,42520,30,Monday,1,22,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,No,No,No,No,No,No
20160531,42521,31,Tuesday,2,22,5,May,May,Q2,2,2016,2016 Q2,2016-05,No,Yes,No,No,No,No,No
20160601,42522,1,Wednesday,3,22,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,Yes,No,No,No,No,No,No
20160602,42523,2,Thursday,4,22,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160603,42524,3,Friday,5,22,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160604,42525,4,Saturday,6,22,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160605,42526,5,Sunday,7,22,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160606,42527,6,Monday,1,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160607,42528,7,Tuesday,2,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160608,42529,8,Wednesday,3,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160609,42530,9,Thursday,4,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160610,42531,10,Friday,5,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160611,42532,11,Saturday,6,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160612,42533,12,Sunday,7,23,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160613,42534,13,Monday,1,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160614,42535,14,Tuesday,2,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160615,42536,15,Wednesday,3,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160616,42537,16,Thursday,4,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160617,42538,17,Friday,5,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160618,42539,18,Saturday,6,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160619,42540,19,Sunday,7,24,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160620,42541,20,Monday,1,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160621,42542,21,Tuesday,2,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160622,42543,22,Wednesday,3,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160623,42544,23,Thursday,4,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160624,42545,24,Friday,5,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160625,42546,25,Saturday,6,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160626,42547,26,Sunday,7,25,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,Yes
20160627,42548,27,Monday,1,26,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160628,42549,28,Tuesday,2,26,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160629,42550,29,Wednesday,3,26,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,No,No,No,No,No,No
20160630,42551,30,Thursday,4,26,6,June,Jun,Q2,2,2016,2016 Q2,2016-06,No,Yes,No,Yes,No,No,No
20160701,42552,1,Friday,5,26,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,Yes,No,Yes,No,No,No,No
20160702,42553,2,Saturday,6,26,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160703,42554,3,Sunday,7,26,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160704,42555,4,Monday,1,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160705,42556,5,Tuesday,2,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160706,42557,6,Wednesday,3,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160707,42558,7,Thursday,4,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160708,42559,8,Friday,5,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160709,42560,9,Saturday,6,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160710,42561,10,Sunday,7,27,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160711,42562,11,Monday,1,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160712,42563,12,Tuesday,2,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160713,42564,13,Wednesday,3,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160714,42565,14,Thursday,4,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160715,42566,15,Friday,5,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160716,42567,16,Saturday,6,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160717,42568,17,Sunday,7,28,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160718,42569,18,Monday,1,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160719,42570,19,Tuesday,2,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160720,42571,20,Wednesday,3,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160721,42572,21,Thursday,4,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160722,42573,22,Friday,5,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160723,42574,23,Saturday,6,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160724,42575,24,Sunday,7,29,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160725,42576,25,Monday,1,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160726,42577,26,Tuesday,2,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160727,42578,27,Wednesday,3,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160728,42579,28,Thursday,4,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160729,42580,29,Friday,5,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,No
20160730,42581,30,Saturday,6,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,No,No,No,No,No,Yes
20160731,42582,31,Sunday,7,30,7,July,Jul,Q3,3,2016,2016 Q3,2016-07,No,Yes,No,No,No,No,Yes
20160801,42583,1,Monday,1,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,Yes,No,No,No,No,No,No
20160802,42584,2,Tuesday,2,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
20160803,42585,3,Wednesday,3,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
20160804,42586,4,Thursday,4,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
20160805,42587,5,Friday,5,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
20160806,42588,6,Saturday,6,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,Yes
20160807,42589,7,Sunday,7,31,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,Yes
20160808,42590,8,Monday,1,32,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
20160809,42591,9,Tuesday,2,32,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
20160810,42592,10,Wednesday,3,32,8,August,Aug,Q3,3,2016,2016 Q3,2016-08,No,No,No,No,No,No,No
