AssetSnapshotID,AssetID,AssetCode,FundID,FundCode,ValuationDate,ValuationDateKey,QuarterEnd,AssetStatus,CumulativeInvested,CumulativeInvestedCHF,CumulativeProceeds,CumulativeProceedsCHF,FairValue,FairValueCHF,Currency,FXRateToCHF,GrossMOIC
28,1,AB1-ATC,1,AB1,44926,20221231,2022 Q4,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.994348,1.77
29,1,AB1-ATC,1,AB1,45016,20230331,2023 Q1,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.982912,1.77
30,1,AB1-ATC,1,AB1,45107,20230630,2023 Q2,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.966214,1.77
31,1,AB1-ATC,1,AB1,45199,20230930,2023 Q3,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.957615,1.77
32,1,AB1-ATC,1,AB1,45291,20231231,2023 Q4,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.954151,1.77
33,1,AB1-ATC,1,AB1,45382,20240331,2024 Q1,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.950049,1.77
34,1,AB1-ATC,1,AB1,45473,20240630,2024 Q2,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.941057,1.77
35,1,AB1-ATC,1,AB1,45565,20240930,2024 Q3,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.940081,1.77
36,1,AB1-ATC,1,AB1,45657,20241231,2024 Q4,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.944067,1.77
37,1,AB1-ATC,1,AB1,45747,20250331,2025 Q1,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.940037,1.77
38,1,AB1-ATC,1,AB1,45838,20250630,2025 Q2,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.931099,1.77
39,1,AB1-ATC,1,AB1,45930,20250930,2025 Q3,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.930093,1.77
40,1,AB1-ATC,1,AB1,46022,20251231,2025 Q4,Realized,123906000,134483589,219315000,218610634,0,0,EUR,0.933997,1.77
41,2,AB1-NTS,1,AB1,42551,20160630,2016 Q2,Active,86590000,93139841,0,0,83127000,89414893,EUR,1.075642,0.96
42,2,AB1-NTS,1,AB1,42643,20160930,2016 Q3,Active,111013000,119324203,0,0,106572000,114257866,EUR,1.072119,0.96
43,2,AB1-NTS,1,AB1,42735,20161231,2016 Q4,Active,111013000,119324203,0,0,115676000,124300456,EUR,1.074557,1.042
44,2,AB1-NTS,1,AB1,42825,20170331,2017 Q1,Active,111013000,119324203,0,0,122558000,134200152,EUR,1.094993,1.104
45,2,AB1-NTS,1,AB1,42916,20170630,2017 Q2,Active,111013000,119324203,0,0,129441000,143650256,EUR,1.109774,1.166
46,2,AB1-NTS,1,AB1,43008,20170930,2017 Q3,Active,111013000,119324203,0,0,136324000,154582555,EUR,1.133935,1.228
47,2,AB1-NTS,1,AB1,43100,20171231,2017 Q4,Active,111013000,119324203,0,0,143207000,166783598,EUR,1.164633,1.29
48,2,AB1-NTS,1,AB1,43190,20180331,2018 Q1,Active,111013000,119324203,0,0,150090000,173489481,EUR,1.155903,1.352
49,2,AB1-NTS,1,AB1,43281,20180630,2018 Q2,Active,111013000,119324203,0,0,156972000,179021700,EUR,1.140469,1.414
50,2,AB1-NTS,1,AB1,43373,20180930,2018 Q3,Active,111013000,119324203,0,0,163855000,185894972,EUR,1.134509,1.476
51,2,AB1-NTS,1,AB1,43465,20181231,2018 Q4,Partially Realized,111013000,119324203,140000,158877,170738000,193759800,EUR,1.134837,1.539
52,2,AB1-NTS,1,AB1,43555,20190331,2019 Q1,Partially Realized,111013000,119324203,289000,326260,177621000,199534813,EUR,1.123374,1.603
53,2,AB1-NTS,1,AB1,43646,20190630,2019 Q2,Partially Realized,111013000,119324203,447000,500958,184504000,204002752,EUR,1.105682,1.666
54,2,AB1-NTS,1,AB1,43738,20190930,2019 Q3,Partially Realized,111013000,119324203,614000,684184,191386000,209981064,EUR,1.09716,1.73
55,2,AB1-NTS,1,AB1,43830,20191231,2019 Q4,Partially Realized,111013000,119324203,791000,877945,198269000,217044281,EUR,1.094696,1.793
56,2,AB1-NTS,1,AB1,43921,20200331,2020 Q1,Partially Realized,111013000,119324203,977000,1080778,205152000,223718051,EUR,1.090499,1.857
57,2,AB1-NTS,1,AB1,44012,20200630,2020 Q2,Partially Realized,111013000,119324203,1172000,1291478,191475000,206891610,EUR,1.080515,1.735
58,2,AB1-NTS,1,AB1,44104,20200930,2020 Q3,Partially Realized,111013000,119324203,1377000,1512803,177798000,191957122,EUR,1.079636,1.614
59,2,AB1-NTS,1,AB1,44196,20201231,2020 Q4,Partially Realized,111013000,119324203,1591000,1744912,164122000,178010168,EUR,1.084621,1.493
60,2,AB1-NTS,1,AB1,44286,20210331,2021 Q1,Partially Realized,111013000,119324203,1814000,1984226,150445000,161451105,EUR,1.073157,1.372
61,2,AB1-NTS,1,AB1,44377,20210630,2021 Q2,Partially Realized,111013000,119324203,2047000,2230236,136768000,144404852,EUR,1.055838,1.25
62,2,AB1-NTS,1,AB1,44469,20210930,2021 Q3,Partially Realized,111013000,119324203,2289000,2483701,123091000,128922313,EUR,1.047374,1.129
63,2,AB1-NTS,1,AB1,44561,20211231,2021 Q4,Partially Realized,111013000,119324203,2540000,2745879,109414000,114286534,EUR,1.044533,1.008
64,2,AB1-NTS,1,AB1,44651,20220331,2022 Q1,Partially Realized,111013000,119324203,2801000,3014866,95738000,98667870,EUR,1.030603,0.888
65,2,AB1-NTS,1,AB1,44742,20220630,2022 Q2,Partially Realized,111013000,119324203,3071000,3287861,82061000,82971385,EUR,1.011094,0.767
66,2,AB1-NTS,1,AB1,44834,20220930,2022 Q3,Partially Realized,111013000,119324203,3350000,3566875,68384000,68387351,EUR,1.000049,0.646
67,2,AB1-NTS,1,AB1,44926,20221231,2022 Q4,Partially Realized,111013000,119324203,3638000,3853247,54707000,54397796,EUR,0.994348,0.526
68,2,AB1-NTS,1,AB1,45016,20230331,2023 Q1,Partially Realized,111013000,119324203,3936000,4146155,41030000,40328879,EUR,0.982912,0.405
69,2,AB1-NTS,1,AB1,45107,20230630,2023 Q2,Partially Realized,111013000,119324203,4243000,4442783,27354000,26429818,EUR,0.966214,0.285
70,2,AB1-NTS,1,AB1,45199,20230930,2023 Q3,Partially Realized,111013000,119324203,45101000,43569017,13677000,13097300,EUR,0.957615,0.529
71,2,AB1-NTS,1,AB1,45291,20231231,2023 Q4,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.954151,1.87
72,2,AB1-NTS,1,AB1,45382,20240331,2024 Q1,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.950049,1.87
73,2,AB1-NTS,1,AB1,45473,20240630,2024 Q2,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.941057,1.87
74,2,AB1-NTS,1,AB1,45565,20240930,2024 Q3,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.940081,1.87
75,2,AB1-NTS,1,AB1,45657,20241231,2024 Q4,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.944067,1.87
76,2,AB1-NTS,1,AB1,45747,20250331,2025 Q1,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.940037,1.87
77,2,AB1-NTS,1,AB1,45838,20250630,2025 Q2,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.931099,1.87
78,2,AB1-NTS,1,AB1,45930,20250930,2025 Q3,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.930093,1.87
79,2,AB1-NTS,1,AB1,46022,20251231,2025 Q4,Realized,111013000,119324203,207594000,198611875,0,0,EUR,0.933997,1.87
80,3,AB1-IBP,1,AB1,42735,20161231,2016 Q4,Active,71113000,76414972,0,0,68268000,73357857,EUR,1.074557,0.96
81,3,AB1-IBP,1,AB1,42825,20170331,2017 Q1,Active,91170000,98377247,0,0,87523000,95837072,EUR,1.094993,0.96
82,3,AB1-IBP,1,AB1,42916,20170630,2017 Q2,Active,91170000,98377247,0,0,94264000,104611736,EUR,1.109774,1.034
83,3,AB1-IBP,1,AB1,43008,20170930,2017 Q3,Active,91170000,98377247,0,0,99181000,112464807,EUR,1.133935,1.088
84,3,AB1-IBP,1,AB1,43100,20171231,2017 Q4,Active,91170000,98377247,0,0,104098000,121235966,EUR,1.164633,1.142
85,3,AB1-IBP,1,AB1,43190,20180331,2018 Q1,Active,91170000,98377247,0,0,109015000,126010766,EUR,1.155903,1.196
86,3,AB1-IBP,1,AB1,43281,20180630,2018 Q2,Active,91170000,98377247,0,0,113932000,129935914,EUR,1.140469,1.25
87,3,AB1-IBP,1,AB1,43373,20180930,2018 Q3,Active,91170000,98377247,0,0,118849000,134835260,EUR,1.134509,1.304
88,3,AB1-IBP,1,AB1,43465,20181231,2018 Q4,Active,91170000,98377247,0,0,123766000,140454236,EUR,1.134837,1.358
89,3,AB1-IBP,1,AB1,43555,20190331,2019 Q1,Active,91170000,98377247,0,0,128683000,144559136,EUR,1.123374,1.411
90,3,AB1-IBP,1,AB1,43646,20190630,2019 Q2,Partially Realized,91170000,98377247,52000,57495,133600000,147719115,EUR,1.105682,1.466
91,3,AB1-IBP,1,AB1,43738,20190930,2019 Q3,Partially Realized,91170000,98377247,107000,117839,138518000,151976409,EUR,1.09716,1.521
92,3,AB1-IBP,1,AB1,43830,20191231,2019 Q4,Partially Realized,91170000,98377247,166000,182426,143435000,157017721,EUR,1.094696,1.575
93,3,AB1-IBP,1,AB1,43921,20200331,2020 Q1,Partially Realized,91170000,98377247,228000,250037,148352000,161777708,EUR,1.090499,1.63
94,3,AB1-IBP,1,AB1,44012,20200630,2020 Q2,Partially Realized,91170000,98377247,293000,320270,153269000,165609454,EUR,1.080515,1.684
95,3,AB1-IBP,1,AB1,44104,20200930,2020 Q3,Partially Realized,91170000,98377247,361000,393685,158186000,170783300,EUR,1.079636,1.739
96,3,AB1-IBP,1,AB1,44196,20201231,2020 Q4,Partially Realized,91170000,98377247,432000,470693,163103000,176904939,EUR,1.084621,1.794
97,3,AB1-IBP,1,AB1,44286,20210331,2021 Q1,Partially Realized,91170000,98377247,507000,551180,152909000,164095364,EUR,1.073157,1.683
98,3,AB1-IBP,1,AB1,44377,20210630,2021 Q2,Partially Realized,91170000,98377247,585000,633535,142715000,150683920,EUR,1.055838,1.572
99,3,AB1-IBP,1,AB1,44469,20210930,2021 Q3,Partially Realized,91170000,98377247,666000,718372,132521000,138799050,EUR,1.047374,1.461
100,3,AB1-IBP,1,AB1,44561,20211231,2021 Q4,Partially Realized,91170000,98377247,750000,806113,122327000,127774588,EUR,1.044533,1.35
101,3,AB1-IBP,1,AB1,44651,20220331,2022 Q1,Partially Realized,91170000,98377247,837000,895775,112133000,115564606,EUR,1.030603,1.239
102,3,AB1-IBP,1,AB1,44742,20220630,2022 Q2,Partially Realized,91170000,98377247,927000,986773,101939000,103069911,EUR,1.011094,1.128
103,3,AB1-IBP,1,AB1,44834,20220930,2022 Q3,Partially Realized,91170000,98377247,1021000,1080778,91745000,91749496,EUR,1.000049,1.018
104,3,AB1-IBP,1,AB1,44926,20221231,2022 Q4,Partially Realized,91170000,98377247,1118000,1177230,81552000,81091068,EUR,0.994348,0.907
105,3,AB1-IBP,1,AB1,45016,20230331,2023 Q1,Partially Realized,91170000,98377247,1218000,1275521,71358000,70138634,EUR,0.982912,0.796
106,3,AB1-IBP,1,AB1,45107,20230630,2023 Q2,Partially Realized,91170000,98377247,1321000,1375041,61164000,59097513,EUR,0.966214,0.685
107,3,AB1-IBP,1,AB1,45199,20230930,2023 Q3,Partially Realized,91170000,98377247,1427000,1476548,50970000,48809637,EUR,0.957615,0.575
108,3,AB1-IBP,1,AB1,45291,20231231,2023 Q4,Partially Realized,91170000,98377247,1536000,1580550,40776000,38906461,EUR,0.954151,0.464
109,3,AB1-IBP,1,AB1,45382,20240331,2024 Q1,Partially Realized,91170000,98377247,1649000,1687906,30582000,29054399,EUR,0.950049,0.354
110,3,AB1-IBP,1,AB1,45473,20240630,2024 Q2,Partially Realized,91170000,98377247,1765000,1797069,20388000,19186270,EUR,0.941057,0.243
111,3,AB1-IBP,1,AB1,45565,20240930,2024 Q3,Partially Realized,91170000,98377247,34304000,32386365,10194000,9583186,EUR,0.940081,0.488
112,3,AB1-IBP,1,AB1,45657,20241231,2024 Q4,Realized,91170000,98377247,164106000,154928150,0,0,EUR,0.944067,1.8
113,3,AB1-IBP,1,AB1,45747,20250331,2025 Q1,Realized,91170000,98377247,164106000,154928150,0,0,EUR,0.940037,1.8
114,3,AB1-IBP,1,AB1,45838,20250630,2025 Q2,Realized,91170000,98377247,164106000,154928150,0,0,EUR,0.931099,1.8
115,3,AB1-IBP,1,AB1,45930,20250930,2025 Q3,Realized,91170000,98377247,164106000,154928150,0,0,EUR,0.930093,1.8
116,3,AB1-IBP,1,AB1,46022,20251231,2025 Q4,Realized,91170000,98377247,164106000,154928150,0,0,EUR,0.933997,1.8
117,4,AB1-ATL,1,AB1,42916,20170630,2017 Q2,Active,51895000,57591722,0,0,49819000,55287831,EUR,1.109774,0.96
118,4,AB1-ATL,1,AB1,43008,20170930,2017 Q3,Active,66532000,74189129,0,0,63871000,72425562,EUR,1.133935,0.96
119,4,AB1-ATL,1,AB1,43100,20171231,2017 Q4,Active,66532000,74189129,0,0,68389000,79648086,EUR,1.164633,1.028
120,4,AB1-ATL,1,AB1,43190,20180331,2018 Q1,Active,66532000,74189129,0,0,71576000,82734913,EUR,1.155903,1.076
121,4,AB1-ATL,1,AB1,43281,20180630,2018 Q2,Active,66532000,74189129,0,0,74763000,85264884,EUR,1.140469,1.124
122,4,AB1-ATL,1,AB1,43373,20180930,2018 Q3,Active,66532000,74189129,0,0,77951000,88436111,EUR,1.134509,1.172
123,4,AB1-ATL,1,AB1,43465,20181231,2018 Q4,Active,66532000,74189129,0,0,81138000,92078405,EUR,1.134837,1.22
124,4,AB1-ATL,1,AB1,43555,20190331,2019 Q1,Active,66532000,74189129,0,0,84325000,94728513,EUR,1.123374,1.267
125,4,AB1-ATL,1,AB1,43646,20190630,2019 Q2,Active,66532000,74189129,0,0,87512000,96760443,EUR,1.105682,1.315
126,4,AB1-ATL,1,AB1,43738,20190930,2019 Q3,Active,66532000,74189129,0,0,90700000,99512412,EUR,1.09716,1.363
127,4,AB1-ATL,1,AB1,43830,20191231,2019 Q4,Partially Realized,66532000,74189129,75000,82102,93887000,102777723,EUR,1.094696,1.412
128,4,AB1-ATL,1,AB1,43921,20200331,2020 Q1,Partially Realized,66532000,74189129,154000,168251,97074000,105859100,EUR,1.090499,1.461
129,4,AB1-ATL,1,AB1,44012,20200630,2020 Q2,Partially Realized,66532000,74189129,237000,257934,100262000,108334595,EUR,1.080515,1.511
130,4,AB1-ATL,1,AB1,44104,20200930,2020 Q3,Partially Realized,66532000,74189129,325000,352942,103449000,111687265,EUR,1.079636,1.56
131,4,AB1-ATL,1,AB1,44196,20201231,2020 Q4,Partially Realized,66532000,74189129,417000,452727,106636000,115659645,EUR,1.084621,1.609
132,4,AB1-ATL,1,AB1,44286,20210331,2021 Q1,Partially Realized,66532000,74189129,513000,555750,109823000,117857321,EUR,1.073157,1.658
133,4,AB1-ATL,1,AB1,44377,20210630,2021 Q2,Partially Realized,66532000,74189129,613000,661334,113011000,119321308,EUR,1.055838,1.708
134,4,AB1-ATL,1,AB1,44469,20210930,2021 Q3,Partially Realized,66532000,74189129,717000,770261,116198000,121702764,EUR,1.047374,1.757
135,4,AB1-ATL,1,AB1,44561,20211231,2021 Q4,Partially Realized,66532000,74189129,825000,883071,111386000,116346353,EUR,1.044533,1.687
136,4,AB1-ATL,1,AB1,44651,20220331,2022 Q1,Partially Realized,66532000,74189129,938000,999529,106574000,109835484,EUR,1.030603,1.616
137,4,AB1-ATL,1,AB1,44742,20220630,2022 Q2,Partially Realized,66532000,74189129,1055000,1117827,101761000,102889937,EUR,1.011094,1.545
138,4,AB1-ATL,1,AB1,44834,20220930,2022 Q3,Partially Realized,66532000,74189129,1176000,1238833,96949000,96953751,EUR,1.000049,1.475
139,4,AB1-ATL,1,AB1,44926,20221231,2022 Q4,Partially Realized,66532000,74189129,1301000,1363127,92137000,91616242,EUR,0.994348,1.404
140,4,AB1-ATL,1,AB1,45016,20230331,2023 Q1,Partially Realized,66532000,74189129,1430000,1489923,87325000,85832790,EUR,0.982912,1.334
141,4,AB1-ATL,1,AB1,45107,20230630,2023 Q2,Partially Realized,66532000,74189129,1563000,1618429,82513000,79725216,EUR,0.966214,1.264
142,4,AB1-ATL,1,AB1,45199,20230930,2023 Q3,Partially Realized,66532000,74189129,1701000,1750580,77700000,74406686,EUR,0.957615,1.193
143,4,AB1-ATL,1,AB1,45291,20231231,2023 Q4,Partially Realized,66532000,74189129,1843000,1886069,72888000,69546158,EUR,0.954151,1.123
144,4,AB1-ATL,1,AB1,45382,20240331,2024 Q1,Partially Realized,66532000,74189129,1989000,2024776,68076000,64675536,EUR,0.950049,1.053
145,4,AB1-ATL,1,AB1,45473,20240630,2024 Q2,Partially Realized,66532000,74189129,2139000,2165935,63264000,59535030,EUR,0.941057,0.983
146,4,AB1-ATL,1,AB1,45565,20240930,2024 Q3,Partially Realized,66532000,74189129,2293000,2310707,58451000,54948675,EUR,0.940081,0.913
147,4,AB1-ATL,1,AB1,45657,20241231,2024 Q4,Partially Realized,66532000,74189129,2451000,2459870,53639000,50638810,EUR,0.944067,0.843
148,4,AB1-ATL,1,AB1,45747,20250331,2025 Q1,Partially Realized,66532000,74189129,2614000,2613096,48827000,45899187,EUR,0.940037,0.773
149,4,AB1-ATL,1,AB1,45838,20250630,2025 Q2,Partially Realized,66532000,74189129,2781000,2768590,44015000,40982322,EUR,0.931099,0.703
150,4,AB1-ATL,1,AB1,45930,20250930,2025 Q3,Partially Realized,66532000,74189129,19001000,17854698,39203000,36462436,EUR,0.930093,0.875
151,4,AB1-ATL,1,AB1,46022,20251231,2025 Q4,Partially Realized,66532000,74189129,83372000,77977019,34390000,32120157,EUR,0.933997,1.77
152,5,AB1-BSS,1,AB1,43100,20171231,2017 Q4,Active,40643000,47334179,0,0,39018000,45441650,EUR,1.164633,0.96
153,5,AB1-BSS,1,AB1,43190,20180331,2018 Q1,Active,52107000,60585451,0,0,50023000,57821736,EUR,1.155903,0.96
154,5,AB1-BSS,1,AB1,43281,20180630,2018 Q2,Active,52107000,60585451,0,0,53681000,61221516,EUR,1.140469,1.03
155,5,AB1-BSS,1,AB1,43373,20180930,2018 Q3,Active,52107000,60585451,0,0,56296000,63868319,EUR,1.134509,1.08
156,5,AB1-BSS,1,AB1,43465,20181231,2018 Q4,Active,52107000,60585451,0,0,58912000,66855517,EUR,1.134837,1.131
157,5,AB1-BSS,1,AB1,43555,20190331,2019 Q1,Active,52107000,60585451,0,0,61528000,69118955,EUR,1.123374,1.181
158,5,AB1-BSS,1,AB1,43646,20190630,2019 Q2,Active,52107000,60585451,0,0,64144000,70922866,EUR,1.105682,1.231
159,5,AB1-BSS,1,AB1,43738,20190930,2019 Q3,Active,52107000,60585451,0,0,66759000,73245304,EUR,1.09716,1.281
160,5,AB1-BSS,1,AB1,43830,20191231,2019 Q4,Active,52107000,60585451,0,0,69375000,75944535,EUR,1.094696,1.331
161,5,AB1-BSS,1,AB1,43921,20200331,2020 Q1,Active,52107000,60585451,0,0,71991000,78506114,EUR,1.090499,1.382
162,5,AB1-BSS,1,AB1,44012,20200630,2020 Q2,Partially Realized,52107000,60585451,46000,49704,74607000,80613983,EUR,1.080515,1.433
163,5,AB1-BSS,1,AB1,44104,20200930,2020 Q3,Partially Realized,52107000,60585451,95000,102606,77222000,83371651,EUR,1.079636,1.484
164,5,AB1-BSS,1,AB1,44196,20201231,2020 Q4,Partially Realized,52107000,60585451,147000,159006,79838000,86593971,EUR,1.084621,1.535
165,5,AB1-BSS,1,AB1,44286,20210331,2021 Q1,Partially Realized,52107000,60585451,202000,218030,82454000,88486087,EUR,1.073157,1.586
166,5,AB1-BSS,1,AB1,44377,20210630,2021 Q2,Partially Realized,52107000,60585451,259000,278213,85070000,89820139,EUR,1.055838,1.638
167,5,AB1-BSS,1,AB1,44469,20210930,2021 Q3,Partially Realized,52107000,60585451,319000,341055,87685000,91838989,EUR,1.047374,1.689
168,5,AB1-BSS,1,AB1,44561,20211231,2021 Q4,Partially Realized,52107000,60585451,382000,406861,90301000,94322374,EUR,1.044533,1.74
169,5,AB1-BSS,1,AB1,44651,20220331,2022 Q1,Partially Realized,52107000,60585451,448000,474881,87731000,90415832,EUR,1.030603,1.692
170,5,AB1-BSS,1,AB1,44742,20220630,2022 Q2,Partially Realized,52107000,60585451,517000,544646,85161000,86105776,EUR,1.011094,1.644
171,5,AB1-BSS,1,AB1,44834,20220930,2022 Q3,Partially Realized,52107000,60585451,588000,615649,82591000,82595047,EUR,1.000049,1.596
172,5,AB1-BSS,1,AB1,44926,20221231,2022 Q4,Partially Realized,52107000,60585451,662000,689231,80020000,79567727,EUR,0.994348,1.548
173,5,AB1-BSS,1,AB1,45016,20230331,2023 Q1,Partially Realized,52107000,60585451,739000,764915,77450000,76126534,EUR,0.982912,1.501
174,5,AB1-BSS,1,AB1,45107,20230630,2023 Q2,Partially Realized,52107000,60585451,819000,842212,74880000,72350104,EUR,0.966214,1.453
175,5,AB1-BSS,1,AB1,45199,20230930,2023 Q3,Partially Realized,52107000,60585451,902000,921694,72310000,69245141,EUR,0.957615,1.405
176,5,AB1-BSS,1,AB1,45291,20231231,2023 Q4,Partially Realized,52107000,60585451,987000,1002797,69740000,66542491,EUR,0.954151,1.357
177,5,AB1-BSS,1,AB1,45382,20240331,2024 Q1,Partially Realized,52107000,60585451,1075000,1086401,67170000,63814791,EUR,0.950049,1.31
178,5,AB1-BSS,1,AB1,45473,20240630,2024 Q2,Partially Realized,52107000,60585451,1166000,1172037,64599000,60791341,EUR,0.941057,1.262
179,5,AB1-BSS,1,AB1,45565,20240930,2024 Q3,Partially Realized,52107000,60585451,15343000,14499565,62029000,58312284,EUR,0.940081,1.485
180,5,AB1-BSS,1,AB1,45657,20241231,2024 Q4,Partially Realized,52107000,60585451,15440000,14591139,59459000,56133280,EUR,0.944067,1.437
181,5,AB1-BSS,1,AB1,45747,20250331,2025 Q1,Partially Realized,52107000,60585451,15539000,14684203,56889000,53477765,EUR,0.940037,1.39
182,5,AB1-BSS,1,AB1,45838,20250630,2025 Q2,Partially Realized,52107000,60585451,15641000,14779175,54319000,50576367,EUR,0.931099,1.343
183,5,AB1-BSS,1,AB1,45930,20250930,2025 Q3,Partially Realized,52107000,60585451,41900000,39202487,51749000,48131383,EUR,0.930093,1.797
184,5,AB1-BSS,1,AB1,46022,20251231,2025 Q4,Partially Realized,52107000,60585451,42008000,39303359,49179000,45933038,EUR,0.933997,1.75
185,6,AB1-RHG,1,AB1,43373,20180930,2018 Q3,Active,60998000,69202780,0,0,58558000,66434578,EUR,1.134509,0.96
186,6,AB1-RHG,1,AB1,43465,20181231,2018 Q4,Active,78202000,88726516,0,0,75074000,85196753,EUR,1.134837,0.96
187,6,AB1-RHG,1,AB1,43555,20190331,2019 Q1,Active,78202000,88726516,0,0,81886000,91988603,EUR,1.123374,1.047
188,6,AB1-RHG,1,AB1,43646,20190630,2019 Q2,Active,78202000,88726516,0,0,87134000,96342495,EUR,1.105682,1.114
189,6,AB1-RHG,1,AB1,43738,20190930,2019 Q3,Active,78202000,88726516,0,0,92382000,101357835,EUR,1.09716,1.181
190,6,AB1-RHG,1,AB1,43830,20191231,2019 Q4,Active,78202000,88726516,0,0,97630000,106875170,EUR,1.094696,1.248
