CommitmentID,CommitmentRef,FundID,FundCode,InvestorID,InvestorCode,CommitmentDate,CommitmentDateKey,CommitmentAmount,CommitmentCurrency,FXRateToCHF,CommitmentAmountCHF,CommitmentPctOfFund,ClosingRound,CommitmentStatus,SideLetterFlag,MostFavoredNationFlag,CoInvestmentRightsFlag,FeeTermsBucket,RecordSource
39,COM-0039,4,DDL1,5,UKPBF,43921,20200331,50000000,EUR,1.090499,54524950,0.083333333,First Close,Active,No,No,No,Standard,Synthetic
40,COM-0040,4,DDL1,6,SPBAM,43921,20200331,35000000,EUR,1.090499,38167465,0.058333333,First Close,Active,No,No,No,Standard,Synthetic
41,COM-0041,4,DDL1,11,MCV,43921,20200331,10000000,EUR,1.090499,10904990,0.016666667,First Close,Active,No,No,Yes,GP / Reduced,Synthetic
42,COM-0042,4,DDL1,7,AIP,44104,20200930,55000000,EUR,1.079636,59379980,0.091666667,Final Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
43,COM-0043,4,DDL1,8,UUE,44104,20200930,30000000,EUR,1.079636,32389080,0.05,Final Close,Active,No,No,Yes,Standard,Synthetic
44,COM-0044,4,DDL1,9,EIG,44104,20200930,25000000,EUR,1.079636,26990900,0.041666667,Final Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
45,COM-0045,4,DDL1,10,GPCF,44104,20200930,15000000,EUR,1.079636,16194540,0.025,Final Close,Active,No,No,No,Standard,Synthetic
46,COM-0046,5,ER1,1,SPR,43190,20180331,110000000,EUR,1.155903,127149330,0.146666667,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
47,COM-0047,5,ER1,2,NIG,43190,20180331,95000000,EUR,1.155903,109810785,0.126666667,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
48,COM-0048,5,ER1,3,GSIA,43190,20180331,140000000,EUR,1.155903,161826420,0.186666667,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
49,COM-0049,5,ER1,4,CPP,43190,20180331,120000000,EUR,1.155903,138708360,0.16,First Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
50,COM-0050,5,ER1,5,UKPBF,43190,20180331,60000000,EUR,1.155903,69354180,0.08,First Close,Active,No,No,No,Standard,Synthetic
51,COM-0051,5,ER1,6,SPBAM,43190,20180331,45000000,EUR,1.155903,52015635,0.06,First Close,Active,No,No,No,Standard,Synthetic
52,COM-0052,5,ER1,11,MCV,43190,20180331,15000000,EUR,1.155903,17338545,0.02,First Close,Active,No,No,Yes,GP / Reduced,Synthetic
53,COM-0053,5,ER1,7,AIP,43373,20180930,70000000,EUR,1.134509,79415630,0.093333333,Final Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
54,COM-0054,5,ER1,8,UUE,43373,20180930,40000000,EUR,1.134509,45380360,0.053333333,Final Close,Active,No,No,Yes,Standard,Synthetic
55,COM-0055,5,ER1,9,EIG,43373,20180930,35000000,EUR,1.134509,39707815,0.046666667,Final Close,Active,Yes,Yes,Yes,Reduced Fee / MFN,Synthetic
56,COM-0056,5,ER1,10,GPCF,43373,20180930,20000000,EUR,1.134509,22690180,0.026666667,Final Close,Active,No,No,No,Standard,Synthetic
