InvestorCashflowID,InvestorCashflowRef,CashflowID,CashflowRef,FundID,FundCode,InvestorID,InvestorCode,Date,DateKey,Type,CashflowCategory,Amount,Currency,FXRateToCHF,AmountCHF,CommitmentSharePct,Status,AllocationMethod
14,ICF-000014,3,CF-AB1-20160331-FEE,1,AB1,6,SPBAM,42460,20160331,CALL,Management Fee,-355500,EUR,1.088111,-386823,0.125,Settled,Pro Rata by Eligible Commitment
15,ICF-000015,3,CF-AB1-20160331-FEE,1,AB1,11,MCV,42460,20160331,CALL,Management Fee,-133312,EUR,1.088111,-145059,0.046875,Settled,Pro Rata by Eligible Commitment
16,ICF-000016,4,CF-AB1-20160630-0002,1,AB1,1,SPR,42551,20160630,CALL,Follow-on Investment,-8092516,EUR,1.075642,-8704650,0.296875,Settled,Pro Rata by Eligible Commitment
17,ICF-000017,4,CF-AB1-20160630-0002,1,AB1,2,NIG,42551,20160630,CALL,Follow-on Investment,-5962906,EUR,1.075642,-6413952,0.21875,Settled,Pro Rata by Eligible Commitment
18,ICF-000018,4,CF-AB1-20160630-0002,1,AB1,4,CPP,42551,20160630,CALL,Follow-on Investment,-8518437,EUR,1.075642,-9162789,0.3125,Settled,Pro Rata by Eligible Commitment
19,ICF-000019,4,CF-AB1-20160630-0002,1,AB1,6,SPBAM,42551,20160630,CALL,Follow-on Investment,-3407375,EUR,1.075642,-3665116,0.125,Settled,Pro Rata by Eligible Commitment
20,ICF-000020,4,CF-AB1-20160630-0002,1,AB1,11,MCV,42551,20160630,CALL,Follow-on Investment,-1277766,EUR,1.075642,-1374418,0.046875,Settled,Pro Rata by Eligible Commitment
21,ICF-000021,5,CF-AB1-20160630-EXP,1,AB1,1,SPR,42551,20160630,CALL,Fund Expense,-120531,EUR,1.075642,-129649,0.296875,Settled,Pro Rata by Eligible Commitment
22,ICF-000022,5,CF-AB1-20160630-EXP,1,AB1,2,NIG,42551,20160630,CALL,Fund Expense,-88813,EUR,1.075642,-95530,0.21875,Settled,Pro Rata by Eligible Commitment
23,ICF-000023,5,CF-AB1-20160630-EXP,1,AB1,4,CPP,42551,20160630,CALL,Fund Expense,-126875,EUR,1.075642,-136472,0.3125,Settled,Pro Rata by Eligible Commitment
24,ICF-000024,5,CF-AB1-20160630-EXP,1,AB1,6,SPBAM,42551,20160630,CALL,Fund Expense,-50750,EUR,1.075642,-54589,0.125,Settled,Pro Rata by Eligible Commitment
25,ICF-000025,5,CF-AB1-20160630-EXP,1,AB1,11,MCV,42551,20160630,CALL,Fund Expense,-19031,EUR,1.075642,-20471,0.046875,Settled,Pro Rata by Eligible Commitment
26,ICF-000026,6,CF-AB1-20160630-0021,1,AB1,1,SPR,42551,20160630,CALL,Investment,-25706406,EUR,1.075642,-27650890,0.296875,Settled,Pro Rata by Eligible Commitment
27,ICF-000027,6,CF-AB1-20160630-0021,1,AB1,2,NIG,42551,20160630,CALL,Investment,-18941563,EUR,1.075642,-20374340,0.21875,Settled,Pro Rata by Eligible Commitment
28,ICF-000028,6,CF-AB1-20160630-0021,1,AB1,4,CPP,42551,20160630,CALL,Investment,-27059375,EUR,1.075642,-29106201,0.3125,Settled,Pro Rata by Eligible Commitment
29,ICF-000029,6,CF-AB1-20160630-0021,1,AB1,6,SPBAM,42551,20160630,CALL,Investment,-10823750,EUR,1.075642,-11642480,0.125,Settled,Pro Rata by Eligible Commitment
30,ICF-000030,6,CF-AB1-20160630-0021,1,AB1,11,MCV,42551,20160630,CALL,Investment,-4058906,EUR,1.075642,-4365930,0.046875,Settled,Pro Rata by Eligible Commitment
31,ICF-000031,7,CF-AB1-20160630-FEE,1,AB1,1,SPR,42551,20160630,CALL,Management Fee,-844313,EUR,1.075642,-908178,0.296875,Settled,Pro Rata by Eligible Commitment
32,ICF-000032,7,CF-AB1-20160630-FEE,1,AB1,2,NIG,42551,20160630,CALL,Management Fee,-622125,EUR,1.075642,-669184,0.21875,Settled,Pro Rata by Eligible Commitment
33,ICF-000033,7,CF-AB1-20160630-FEE,1,AB1,4,CPP,42551,20160630,CALL,Management Fee,-888750,EUR,1.075642,-955977,0.3125,Settled,Pro Rata by Eligible Commitment
34,ICF-000034,7,CF-AB1-20160630-FEE,1,AB1,6,SPBAM,42551,20160630,CALL,Management Fee,-355500,EUR,1.075642,-382391,0.125,Settled,Pro Rata by Eligible Commitment
35,ICF-000035,7,CF-AB1-20160630-FEE,1,AB1,11,MCV,42551,20160630,CALL,Management Fee,-133312,EUR,1.075642,-143396,0.046875,Settled,Pro Rata by Eligible Commitment
36,ICF-000036,8,CF-AB1-20160930-0022,1,AB1,1,SPR,42643,20160930,CALL,Follow-on Investment,-3569515,EUR,1.072119,-3826945,0.146153846,Settled,Pro Rata by Eligible Commitment
37,ICF-000037,8,CF-AB1-20160930-0022,1,AB1,2,NIG,42643,20160930,CALL,Follow-on Investment,-2630169,EUR,1.072119,-2819854,0.107692308,Settled,Pro Rata by Eligible Commitment
38,ICF-000038,8,CF-AB1-20160930-0022,1,AB1,4,CPP,42643,20160930,CALL,Follow-on Investment,-3757385,EUR,1.072119,-4028363,0.153846154,Settled,Pro Rata by Eligible Commitment
39,ICF-000039,8,CF-AB1-20160930-0022,1,AB1,6,SPBAM,42643,20160930,CALL,Follow-on Investment,-1502954,EUR,1.072119,-1611345,0.061538462,Settled,Pro Rata by Eligible Commitment
40,ICF-000040,8,CF-AB1-20160930-0022,1,AB1,11,MCV,42643,20160930,CALL,Follow-on Investment,-563608,EUR,1.072119,-604255,0.023076923,Settled,Pro Rata by Eligible Commitment
41,ICF-000041,8,CF-AB1-20160930-0022,1,AB1,3,GSIA,42643,20160930,CALL,Follow-on Investment,-4508862,EUR,1.072119,-4834036,0.184615385,Settled,Pro Rata by Eligible Commitment
42,ICF-000042,8,CF-AB1-20160930-0022,1,AB1,5,UKPBF,42643,20160930,CALL,Follow-on Investment,-1127215,EUR,1.072119,-1208509,0.046153846,Settled,Pro Rata by Eligible Commitment
43,ICF-000043,8,CF-AB1-20160930-0022,1,AB1,7,AIP,42643,20160930,CALL,Follow-on Investment,-2442300,EUR,1.072119,-2618436,0.1,Settled,Pro Rata by Eligible Commitment
44,ICF-000044,8,CF-AB1-20160930-0022,1,AB1,8,UUE,42643,20160930,CALL,Follow-on Investment,-1690823,EUR,1.072119,-1812764,0.069230769,Settled,Pro Rata by Eligible Commitment
45,ICF-000045,8,CF-AB1-20160930-0022,1,AB1,9,EIG,42643,20160930,CALL,Follow-on Investment,-1878692,EUR,1.072119,-2014182,0.076923077,Settled,Pro Rata by Eligible Commitment
46,ICF-000046,8,CF-AB1-20160930-0022,1,AB1,10,GPCF,42643,20160930,CALL,Follow-on Investment,-751477,EUR,1.072119,-805673,0.030769231,Settled,Pro Rata by Eligible Commitment
47,ICF-000047,9,CF-AB1-20160930-EXP,1,AB1,1,SPR,42643,20160930,CALL,Fund Expense,-59338,EUR,1.072119,-63618,0.146153846,Settled,Pro Rata by Eligible Commitment
48,ICF-000048,9,CF-AB1-20160930-EXP,1,AB1,2,NIG,42643,20160930,CALL,Fund Expense,-43723,EUR,1.072119,-46876,0.107692308,Settled,Pro Rata by Eligible Commitment
49,ICF-000049,9,CF-AB1-20160930-EXP,1,AB1,4,CPP,42643,20160930,CALL,Fund Expense,-62462,EUR,1.072119,-66966,0.153846154,Settled,Pro Rata by Eligible Commitment
50,ICF-000050,9,CF-AB1-20160930-EXP,1,AB1,6,SPBAM,42643,20160930,CALL,Fund Expense,-24985,EUR,1.072119,-26787,0.061538462,Settled,Pro Rata by Eligible Commitment
51,ICF-000051,9,CF-AB1-20160930-EXP,1,AB1,11,MCV,42643,20160930,CALL,Fund Expense,-9369,EUR,1.072119,-10045,0.023076923,Settled,Pro Rata by Eligible Commitment
52,ICF-000052,9,CF-AB1-20160930-EXP,1,AB1,3,GSIA,42643,20160930,CALL,Fund Expense,-74954,EUR,1.072119,-80359,0.184615385,Settled,Pro Rata by Eligible Commitment
53,ICF-000053,9,CF-AB1-20160930-EXP,1,AB1,5,UKPBF,42643,20160930,CALL,Fund Expense,-18738,EUR,1.072119,-20090,0.046153846,Settled,Pro Rata by Eligible Commitment
54,ICF-000054,9,CF-AB1-20160930-EXP,1,AB1,7,AIP,42643,20160930,CALL,Fund Expense,-40600,EUR,1.072119,-43528,0.1,Settled,Pro Rata by Eligible Commitment
55,ICF-000055,9,CF-AB1-20160930-EXP,1,AB1,8,UUE,42643,20160930,CALL,Fund Expense,-28108,EUR,1.072119,-30135,0.069230769,Settled,Pro Rata by Eligible Commitment
56,ICF-000056,9,CF-AB1-20160930-EXP,1,AB1,9,EIG,42643,20160930,CALL,Fund Expense,-31231,EUR,1.072119,-33483,0.076923077,Settled,Pro Rata by Eligible Commitment
57,ICF-000057,9,CF-AB1-20160930-EXP,1,AB1,10,GPCF,42643,20160930,CALL,Fund Expense,-12492,EUR,1.072119,-13393,0.030769231,Settled,Pro Rata by Eligible Commitment
58,ICF-000058,10,CF-AB1-20160930-FEE,1,AB1,1,SPR,42643,20160930,CALL,Management Fee,-415662,EUR,1.072119,-445638,0.146153846,Settled,Pro Rata by Eligible Commitment
59,ICF-000059,10,CF-AB1-20160930-FEE,1,AB1,2,NIG,42643,20160930,CALL,Management Fee,-306277,EUR,1.072119,-328365,0.107692308,Settled,Pro Rata by Eligible Commitment
60,ICF-000060,10,CF-AB1-20160930-FEE,1,AB1,4,CPP,42643,20160930,CALL,Management Fee,-437538,EUR,1.072119,-469093,0.153846154,Settled,Pro Rata by Eligible Commitment
61,ICF-000061,10,CF-AB1-20160930-FEE,1,AB1,6,SPBAM,42643,20160930,CALL,Management Fee,-175015,EUR,1.072119,-187637,0.061538462,Settled,Pro Rata by Eligible Commitment
62,ICF-000062,10,CF-AB1-20160930-FEE,1,AB1,11,MCV,42643,20160930,CALL,Management Fee,-65631,EUR,1.072119,-70364,0.023076923,Settled,Pro Rata by Eligible Commitment
63,ICF-000063,10,CF-AB1-20160930-FEE,1,AB1,3,GSIA,42643,20160930,CALL,Management Fee,-525046,EUR,1.072119,-562912,0.184615385,Settled,Pro Rata by Eligible Commitment
64,ICF-000064,10,CF-AB1-20160930-FEE,1,AB1,5,UKPBF,42643,20160930,CALL,Management Fee,-131262,EUR,1.072119,-140728,0.046153846,Settled,Pro Rata by Eligible Commitment
65,ICF-000065,10,CF-AB1-20160930-FEE,1,AB1,7,AIP,42643,20160930,CALL,Management Fee,-284400,EUR,1.072119,-304911,0.1,Settled,Pro Rata by Eligible Commitment
66,ICF-000066,10,CF-AB1-20160930-FEE,1,AB1,8,UUE,42643,20160930,CALL,Management Fee,-196892,EUR,1.072119,-211092,0.069230769,Settled,Pro Rata by Eligible Commitment
67,ICF-000067,10,CF-AB1-20160930-FEE,1,AB1,9,EIG,42643,20160930,CALL,Management Fee,-218769,EUR,1.072119,-234547,0.076923077,Settled,Pro Rata by Eligible Commitment
68,ICF-000068,10,CF-AB1-20160930-FEE,1,AB1,10,GPCF,42643,20160930,CALL,Management Fee,-87508,EUR,1.072119,-93819,0.030769231,Settled,Pro Rata by Eligible Commitment
69,ICF-000069,11,CF-AB1-20161231-EXP,1,AB1,1,SPR,42735,20161231,CALL,Fund Expense,-59338,EUR,1.074557,-63763,0.146153846,Settled,Pro Rata by Eligible Commitment
70,ICF-000070,11,CF-AB1-20161231-EXP,1,AB1,2,NIG,42735,20161231,CALL,Fund Expense,-43723,EUR,1.074557,-46983,0.107692308,Settled,Pro Rata by Eligible Commitment
71,ICF-000071,11,CF-AB1-20161231-EXP,1,AB1,4,CPP,42735,20161231,CALL,Fund Expense,-62462,EUR,1.074557,-67118,0.153846154,Settled,Pro Rata by Eligible Commitment
72,ICF-000072,11,CF-AB1-20161231-EXP,1,AB1,6,SPBAM,42735,20161231,CALL,Fund Expense,-24985,EUR,1.074557,-26847,0.061538462,Settled,Pro Rata by Eligible Commitment
73,ICF-000073,11,CF-AB1-20161231-EXP,1,AB1,11,MCV,42735,20161231,CALL,Fund Expense,-9369,EUR,1.074557,-10068,0.023076923,Settled,Pro Rata by Eligible Commitment
74,ICF-000074,11,CF-AB1-20161231-EXP,1,AB1,3,GSIA,42735,20161231,CALL,Fund Expense,-74954,EUR,1.074557,-80542,0.184615385,Settled,Pro Rata by Eligible Commitment
75,ICF-000075,11,CF-AB1-20161231-EXP,1,AB1,5,UKPBF,42735,20161231,CALL,Fund Expense,-18738,EUR,1.074557,-20136,0.046153846,Settled,Pro Rata by Eligible Commitment
76,ICF-000076,11,CF-AB1-20161231-EXP,1,AB1,7,AIP,42735,20161231,CALL,Fund Expense,-40600,EUR,1.074557,-43627,0.1,Settled,Pro Rata by Eligible Commitment
77,ICF-000077,11,CF-AB1-20161231-EXP,1,AB1,8,UUE,42735,20161231,CALL,Fund Expense,-28108,EUR,1.074557,-30203,0.069230769,Settled,Pro Rata by Eligible Commitment
78,ICF-000078,11,CF-AB1-20161231-EXP,1,AB1,9,EIG,42735,20161231,CALL,Fund Expense,-31231,EUR,1.074557,-33559,0.076923077,Settled,Pro Rata by Eligible Commitment
79,ICF-000079,11,CF-AB1-20161231-EXP,1,AB1,10,GPCF,42735,20161231,CALL,Fund Expense,-12492,EUR,1.074557,-13424,0.030769231,Settled,Pro Rata by Eligible Commitment
80,ICF-000080,12,CF-AB1-20161231-0044,1,AB1,1,SPR,42735,20161231,CALL,Investment,-10393438,EUR,1.074557,-11168342,0.146153846,Settled,Pro Rata by Eligible Commitment
81,ICF-000081,12,CF-AB1-20161231-0044,1,AB1,2,NIG,42735,20161231,CALL,Investment,-7658323,EUR,1.074557,-8229305,0.107692308,Settled,Pro Rata by Eligible Commitment
82,ICF-000082,12,CF-AB1-20161231-0044,1,AB1,4,CPP,42735,20161231,CALL,Investment,-10940462,EUR,1.074557,-11756150,0.153846154,Settled,Pro Rata by Eligible Commitment
83,ICF-000083,12,CF-AB1-20161231-0044,1,AB1,6,SPBAM,42735,20161231,CALL,Investment,-4376185,EUR,1.074557,-4702460,0.061538462,Settled,Pro Rata by Eligible Commitment
84,ICF-000084,12,CF-AB1-20161231-0044,1,AB1,11,MCV,42735,20161231,CALL,Investment,-1641069,EUR,1.074557,-1763422,0.023076923,Settled,Pro Rata by Eligible Commitment
85,ICF-000085,12,CF-AB1-20161231-0044,1,AB1,3,GSIA,42735,20161231,CALL,Investment,-13128554,EUR,1.074557,-14107379,0.184615385,Settled,Pro Rata by Eligible Commitment
86,ICF-000086,12,CF-AB1-20161231-0044,1,AB1,5,UKPBF,42735,20161231,CALL,Investment,-3282138,EUR,1.074557,-3526845,0.046153846,Settled,Pro Rata by Eligible Commitment
87,ICF-000087,12,CF-AB1-20161231-0044,1,AB1,7,AIP,42735,20161231,CALL,Investment,-7111300,EUR,1.074557,-7641497,0.1,Settled,Pro Rata by Eligible Commitment
88,ICF-000088,12,CF-AB1-20161231-0044,1,AB1,8,UUE,42735,20161231,CALL,Investment,-4923208,EUR,1.074557,-5290267,0.069230769,Settled,Pro Rata by Eligible Commitment
89,ICF-000089,12,CF-AB1-20161231-0044,1,AB1,9,EIG,42735,20161231,CALL,Investment,-5470231,EUR,1.074557,-5878075,0.076923077,Settled,Pro Rata by Eligible Commitment
90,ICF-000090,12,CF-AB1-20161231-0044,1,AB1,10,GPCF,42735,20161231,CALL,Investment,-2188092,EUR,1.074557,-2351230,0.030769231,Settled,Pro Rata by Eligible Commitment
91,ICF-000091,13,CF-AB1-20161231-FEE,1,AB1,1,SPR,42735,20161231,CALL,Management Fee,-415662,EUR,1.074557,-446652,0.146153846,Settled,Pro Rata by Eligible Commitment
92,ICF-000092,13,CF-AB1-20161231-FEE,1,AB1,2,NIG,42735,20161231,CALL,Management Fee,-306277,EUR,1.074557,-329112,0.107692308,Settled,Pro Rata by Eligible Commitment
93,ICF-000093,13,CF-AB1-20161231-FEE,1,AB1,4,CPP,42735,20161231,CALL,Management Fee,-437538,EUR,1.074557,-470160,0.153846154,Settled,Pro Rata by Eligible Commitment
94,ICF-000094,13,CF-AB1-20161231-FEE,1,AB1,6,SPBAM,42735,20161231,CALL,Management Fee,-175015,EUR,1.074557,-188064,0.061538462,Settled,Pro Rata by Eligible Commitment
95,ICF-000095,13,CF-AB1-20161231-FEE,1,AB1,11,MCV,42735,20161231,CALL,Management Fee,-65631,EUR,1.074557,-70524,0.023076923,Settled,Pro Rata by Eligible Commitment
96,ICF-000096,13,CF-AB1-20161231-FEE,1,AB1,3,GSIA,42735,20161231,CALL,Management Fee,-525046,EUR,1.074557,-564192,0.184615385,Settled,Pro Rata by Eligible Commitment
97,ICF-000097,13,CF-AB1-20161231-FEE,1,AB1,5,UKPBF,42735,20161231,CALL,Management Fee,-131262,EUR,1.074557,-141048,0.046153846,Settled,Pro Rata by Eligible Commitment
98,ICF-000098,13,CF-AB1-20161231-FEE,1,AB1,7,AIP,42735,20161231,CALL,Management Fee,-284400,EUR,1.074557,-305604,0.1,Settled,Pro Rata by Eligible Commitment
99,ICF-000099,13,CF-AB1-20161231-FEE,1,AB1,8,UUE,42735,20161231,CALL,Management Fee,-196892,EUR,1.074557,-211572,0.069230769,Settled,Pro Rata by Eligible Commitment
100,ICF-000100,13,CF-AB1-20161231-FEE,1,AB1,9,EIG,42735,20161231,CALL,Management Fee,-218769,EUR,1.074557,-235080,0.076923077,Settled,Pro Rata by Eligible Commitment
101,ICF-000101,13,CF-AB1-20161231-FEE,1,AB1,10,GPCF,42735,20161231,CALL,Management Fee,-87508,EUR,1.074557,-94032,0.030769231,Settled,Pro Rata by Eligible Commitment
102,ICF-000102,14,CF-AB1-20170331-0045,1,AB1,1,SPR,42825,20170331,CALL,Follow-on Investment,-2931408,EUR,1.094993,-3209871,0.146153846,Settled,Pro Rata by Eligible Commitment
103,ICF-000103,14,CF-AB1-20170331-0045,1,AB1,2,NIG,42825,20170331,CALL,Follow-on Investment,-2159985,EUR,1.094993,-2365168,0.107692308,Settled,Pro Rata by Eligible Commitment
104,ICF-000104,14,CF-AB1-20170331-0045,1,AB1,4,CPP,42825,20170331,CALL,Follow-on Investment,-3085692,EUR,1.094993,-3378812,0.153846154,Settled,Pro Rata by Eligible Commitment
105,ICF-000105,14,CF-AB1-20170331-0045,1,AB1,6,SPBAM,42825,20170331,CALL,Follow-on Investment,-1234277,EUR,1.094993,-1351525,0.061538462,Settled,Pro Rata by Eligible Commitment
106,ICF-000106,14,CF-AB1-20170331-0045,1,AB1,11,MCV,42825,20170331,CALL,Follow-on Investment,-462854,EUR,1.094993,-506822,0.023076923,Settled,Pro Rata by Eligible Commitment
107,ICF-000107,14,CF-AB1-20170331-0045,1,AB1,3,GSIA,42825,20170331,CALL,Follow-on Investment,-3702831,EUR,1.094993,-4054574,0.184615385,Settled,Pro Rata by Eligible Commitment
108,ICF-000108,14,CF-AB1-20170331-0045,1,AB1,5,UKPBF,42825,20170331,CALL,Follow-on Investment,-925708,EUR,1.094993,-1013643,0.046153846,Settled,Pro Rata by Eligible Commitment
109,ICF-000109,14,CF-AB1-20170331-0045,1,AB1,7,AIP,42825,20170331,CALL,Follow-on Investment,-2005700,EUR,1.094993,-2196227,0.1,Settled,Pro Rata by Eligible Commitment
110,ICF-000110,14,CF-AB1-20170331-0045,1,AB1,8,UUE,42825,20170331,CALL,Follow-on Investment,-1388561,EUR,1.094993,-1520465,0.069230769,Settled,Pro Rata by Eligible Commitment
111,ICF-000111,14,CF-AB1-20170331-0045,1,AB1,9,EIG,42825,20170331,CALL,Follow-on Investment,-1542846,EUR,1.094993,-1689406,0.076923077,Settled,Pro Rata by Eligible Commitment
112,ICF-000112,14,CF-AB1-20170331-0045,1,AB1,10,GPCF,42825,20170331,CALL,Follow-on Investment,-617138,EUR,1.094993,-675762,0.030769231,Settled,Pro Rata by Eligible Commitment
113,ICF-000113,15,CF-AB1-20170331-EXP,1,AB1,1,SPR,42825,20170331,CALL,Fund Expense,-59338,EUR,1.094993,-64975,0.146153846,Settled,Pro Rata by Eligible Commitment
114,ICF-000114,15,CF-AB1-20170331-EXP,1,AB1,2,NIG,42825,20170331,CALL,Fund Expense,-43723,EUR,1.094993,-47876,0.107692308,Settled,Pro Rata by Eligible Commitment
115,ICF-000115,15,CF-AB1-20170331-EXP,1,AB1,4,CPP,42825,20170331,CALL,Fund Expense,-62462,EUR,1.094993,-68395,0.153846154,Settled,Pro Rata by Eligible Commitment
116,ICF-000116,15,CF-AB1-20170331-EXP,1,AB1,6,SPBAM,42825,20170331,CALL,Fund Expense,-24985,EUR,1.094993,-27358,0.061538462,Settled,Pro Rata by Eligible Commitment
117,ICF-000117,15,CF-AB1-20170331-EXP,1,AB1,11,MCV,42825,20170331,CALL,Fund Expense,-9369,EUR,1.094993,-10259,0.023076923,Settled,Pro Rata by Eligible Commitment
118,ICF-000118,15,CF-AB1-20170331-EXP,1,AB1,3,GSIA,42825,20170331,CALL,Fund Expense,-74954,EUR,1.094993,-82074,0.184615385,Settled,Pro Rata by Eligible Commitment
119,ICF-000119,15,CF-AB1-20170331-EXP,1,AB1,5,UKPBF,42825,20170331,CALL,Fund Expense,-18738,EUR,1.094993,-20519,0.046153846,Settled,Pro Rata by Eligible Commitment
120,ICF-000120,15,CF-AB1-20170331-EXP,1,AB1,7,AIP,42825,20170331,CALL,Fund Expense,-40600,EUR,1.094993,-44457,0.1,Settled,Pro Rata by Eligible Commitment
121,ICF-000121,15,CF-AB1-20170331-EXP,1,AB1,8,UUE,42825,20170331,CALL,Fund Expense,-28108,EUR,1.094993,-30778,0.069230769,Settled,Pro Rata by Eligible Commitment
122,ICF-000122,15,CF-AB1-20170331-EXP,1,AB1,9,EIG,42825,20170331,CALL,Fund Expense,-31231,EUR,1.094993,-34197,0.076923077,Settled,Pro Rata by Eligible Commitment
123,ICF-000123,15,CF-AB1-20170331-EXP,1,AB1,10,GPCF,42825,20170331,CALL,Fund Expense,-12492,EUR,1.094993,-13679,0.030769231,Settled,Pro Rata by Eligible Commitment
124,ICF-000124,16,CF-AB1-20170331-FEE,1,AB1,1,SPR,42825,20170331,CALL,Management Fee,-415662,EUR,1.094993,-455146,0.146153846,Settled,Pro Rata by Eligible Commitment
125,ICF-000125,16,CF-AB1-20170331-FEE,1,AB1,2,NIG,42825,20170331,CALL,Management Fee,-306277,EUR,1.094993,-335371,0.107692308,Settled,Pro Rata by Eligible Commitment
126,ICF-000126,16,CF-AB1-20170331-FEE,1,AB1,4,CPP,42825,20170331,CALL,Management Fee,-437538,EUR,1.094993,-479102,0.153846154,Settled,Pro Rata by Eligible Commitment
127,ICF-000127,16,CF-AB1-20170331-FEE,1,AB1,6,SPBAM,42825,20170331,CALL,Management Fee,-175015,EUR,1.094993,-191641,0.061538462,Settled,Pro Rata by Eligible Commitment
128,ICF-000128,16,CF-AB1-20170331-FEE,1,AB1,11,MCV,42825,20170331,CALL,Management Fee,-65631,EUR,1.094993,-71865,0.023076923,Settled,Pro Rata by Eligible Commitment
129,ICF-000129,16,CF-AB1-20170331-FEE,1,AB1,3,GSIA,42825,20170331,CALL,Management Fee,-525046,EUR,1.094993,-574922,0.184615385,Settled,Pro Rata by Eligible Commitment
130,ICF-000130,16,CF-AB1-20170331-FEE,1,AB1,5,UKPBF,42825,20170331,CALL,Management Fee,-131262,EUR,1.094993,-143730,0.046153846,Settled,Pro Rata by Eligible Commitment
131,ICF-000131,16,CF-AB1-20170331-FEE,1,AB1,7,AIP,42825,20170331,CALL,Management Fee,-284400,EUR,1.094993,-311416,0.1,Settled,Pro Rata by Eligible Commitment
132,ICF-000132,16,CF-AB1-20170331-FEE,1,AB1,8,UUE,42825,20170331,CALL,Management Fee,-196892,EUR,1.094993,-215596,0.069230769,Settled,Pro Rata by Eligible Commitment
133,ICF-000133,16,CF-AB1-20170331-FEE,1,AB1,9,EIG,42825,20170331,CALL,Management Fee,-218769,EUR,1.094993,-239551,0.076923077,Settled,Pro Rata by Eligible Commitment
134,ICF-000134,16,CF-AB1-20170331-FEE,1,AB1,10,GPCF,42825,20170331,CALL,Management Fee,-87508,EUR,1.094993,-95820,0.030769231,Settled,Pro Rata by Eligible Commitment
135,ICF-000135,17,CF-AB1-20170630-EXP,1,AB1,1,SPR,42916,20170630,CALL,Fund Expense,-59338,EUR,1.109774,-65852,0.146153846,Settled,Pro Rata by Eligible Commitment
136,ICF-000136,17,CF-AB1-20170630-EXP,1,AB1,2,NIG,42916,20170630,CALL,Fund Expense,-43723,EUR,1.109774,-48523,0.107692308,Settled,Pro Rata by Eligible Commitment
137,ICF-000137,17,CF-AB1-20170630-EXP,1,AB1,4,CPP,42916,20170630,CALL,Fund Expense,-62462,EUR,1.109774,-69318,0.153846154,Settled,Pro Rata by Eligible Commitment
138,ICF-000138,17,CF-AB1-20170630-EXP,1,AB1,6,SPBAM,42916,20170630,CALL,Fund Expense,-24985,EUR,1.109774,-27727,0.061538462,Settled,Pro Rata by Eligible Commitment
139,ICF-000139,17,CF-AB1-20170630-EXP,1,AB1,11,MCV,42916,20170630,CALL,Fund Expense,-9369,EUR,1.109774,-10398,0.023076923,Settled,Pro Rata by Eligible Commitment
